,hypernym,term,tree_id,train_test_split
0,役用犬,看家狗,0,train
1,役用犬,突发症警示犬,0,train
2,役用犬,爱斯基摩犬,0,train
3,役用犬,丹麦大狗,0,train
4,役用犬,斗牛獒犬,0,train
5,役用犬,导盲犬,0,train
6,役用犬,拳师狗,0,train
7,役用犬,叭喇狗,0,train
8,役用犬,大驯犬,0,train
9,役用犬,警犬,0,train
10,役用犬,牧羊犬,0,train
11,役用犬,导聋犬,0,train
12,役用犬,拉雪橇的狗,0,train
13,看家狗,军犬,0,train
14,看家狗,比利时种小狗,0,train
15,看家狗,家犬,0,train
16,看家狗,白警犬,0,train
17,看家狗,杜宾犬,0,train
18,叭喇狗,法国叭喇狗,0,train
19,大驯犬,藏獒,0,train
20,牧羊犬,罗特韦尔狗,0,train
21,牧羊犬,博得牧羊犬,0,train
22,牧羊犬,伯瑞牧羊犬,0,train
23,牧羊犬,比利时牧羊犬,0,train
24,牧羊犬,设得兰牧羊犬,0,train
25,牧羊犬,柯利狗,0,train
26,牧羊犬,德种牧羊狗,0,train
27,拉雪橇的狗,北极犬,0,train
28,杜宾犬,小种品舍狗,0,train
29,杜宾犬,艾芬品猴梗,0,train
30,杜宾犬,杜宾犬,0,train
31,比利时牧羊犬,玛伦牧羊犬,0,train
32,比利时牧羊犬,比利时牧羊狗,0,train
33,脉翅目昆虫,蛇蛉,1,train
34,脉翅目昆虫,草蛉,1,train
35,脉翅目昆虫,蚁蛉,1,train
36,脉翅目昆虫,蛇蜻蜓,1,train
37,脉翅目昆虫,泥蛉,1,train
38,脉翅目昆虫,鱼蛉,1,train
39,脉翅目昆虫,螳蛉,1,train
40,草蛉,褐蛉,1,train
41,草蛉,草蛉虫,1,train
42,草蛉虫,金眼蝇,1,train
43,判断,裁定,11,train
44,吸引力,地球引力,112,train
45,吸引力,化合力,112,train
46,通信,明信片,113,train
47,明信片,明信片,113,train
48,数字,八,115,train
49,数字,数目1,115,train
50,数字,八进制数,115,train
51,数字,〇,115,train
52,数字,有效位数,115,train
53,数字,七,115,train
54,数字,四,115,train
55,数字,二,115,train
56,数字,三,115,train
57,数字,五,115,train
58,数字,六,115,train
59,数字,二进制数,115,train
60,数字,九,115,train
61,数目1,一个,115,train
62,数目1,单子,115,train
63,二,双骰儿赌,115,train
64,二,一对,115,train
65,一对,双张,115,train
66,存放款金融机构,代理银行,117,train
67,存放款金融机构,让受方,117,train
68,害怕,恐怖,118,train
69,害怕,不安,118,train
70,军事设施,武器库,119,train
71,军事设施,司令部,119,train
72,军事设施,兵营,119,train
73,军事设施,兵工厂,119,train
74,军事设施,基地,119,train
75,武器库,炮台,119,train
76,司令部,战地指挥所,119,train
77,司令部,禁闭室,119,train
78,兵营,堡垒,119,train
79,基地,重火力点,119,train
80,基地,空军基地,119,train
81,基地,军事基地,119,train
82,开关,整流器,123,train
83,开关,断流器,123,train
84,开关,按钮,123,train
85,开关,引火开关,123,train
86,按钮,喇叭按钮,123,train
87,按钮,电铃按钮,123,train
88,按钮,门铃,123,train
89,化学族,丁基,124,train
90,化学族,偶氮基,124,train
91,化学族,羰基,124,train
92,化学族,亚硝酸根,124,train
93,化学族,羧基,124,train
94,化学族,叠氮自由基,124,train
95,化学族,酰基,124,train
96,化学族,苯基,124,train
97,化学族,醛基,124,train
98,化学族,二甲胂,124,train
99,化学族,苯酰基,124,train
100,化学族,丙基,124,train
101,化学族,烃基,124,train
102,化学族,硝基,124,train
103,化学族,氨基,124,train
104,化学族,丙三基,124,train
105,化学族,烯丙基,124,train
